timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
24.03,0.134644,0.147982,0.992446,0.0205294,0.17254,1.06088,0.111533,0.164728,1.06556,-0.0218187,0.392366,1.04129,0.203146,0.360421,1.03666,0.00787533,-0.0882277,0.314202,-0.0768502,-0.0685987,0.149239,-0.0355635,-0.0107286,0.0515183,-0.0457746,-0.050124,0.276675,0.116805,0.338093,0.0809108,0.213216,0.498511,0.0432089,0.177396,0.601581,0.0681304,0.169756,0.378122,0.108077
24.04,0.136329,0.147731,0.995254,0.0224739,0.171559,1.06335,0.113293,0.164663,1.06816,-0.0210873,0.391996,1.04341,0.204229,0.360638,1.03892,0.0102354,-0.077256,0.3203,-0.076181,-0.0583508,0.156037,-0.0350966,-0.00222112,0.057139,-0.0438478,-0.0387356,0.282657,0.116808,0.325857,0.0810094,0.213197,0.486181,0.0431931,0.177303,0.589402,0.0678919,0.169389,0.366272,0.108411
24.05,0.137772,0.147575,0.998116,0.0239962,0.170961,1.06614,0.114864,0.164618,1.07091,-0.0201779,0.391343,1.04602,0.205111,0.360594,1.04136,0.0126506,-0.0674626,0.324788,-0.0751252,-0.0457997,0.161749,-0.0351767,0.0115522,0.062811,-0.0417743,-0.0278192,0.288825,0.116904,0.313531,0.0810971,0.2132,0.47395,0.0432394,0.177324,0.57705,0.0677403,0.169451,0.35404,0.108693
24.06,0.139128,0.147267,1.00108,0.0254151,0.170445,1.06903,0.116319,0.164363,1.07378,-0.0194245,0.390798,1.04892,0.206029,0.360594,1.04408,0.0147946,-0.0578795,0.327172,-0.073898,-0.0312075,0.165663,-0.035,0.0290499,0.0681045,-0.0394126,-0.0175375,0.292492,0.117052,0.301223,0.0813142,0.213345,0.461622,0.0432527,0.177318,0.564772,0.0677387,0.169418,0.341932,0.108904
24.07,0.140215,0.147017,1.004,0.0263677,0.170526,1.07193,0.117608,0.164246,1.07656,-0.0188216,0.390231,1.05205,0.206891,0.360338,1.04689,0.0170617,-0.0485965,0.327231,-0.0740453,-0.0155235,0.167809,-0.0345214,0.0491199,0.0724716,-0.0369837,-0.00593609,0.294741,0.117111,0.28906,0.0813681,0.213533,0.449293,0.0433313,0.177517,0.55245,0.0677515,0.169465,0.329765,0.109227
24.08,0.141317,0.14653,1.00688,0.0278594,0.169337,1.0749,0.118884,0.163804,1.07937,-0.0182314,0.389608,1.05526,0.207526,0.35999,1.04973,0.0187782,-0.0383973,0.325342,-0.0729264,0.00209976,0.168086,-0.0337977,0.0705339,0.075423,-0.0350307,0.00702245,0.295336,0.117336,0.276792,0.0815542,0.213755,0.436994,0.0433171,0.177707,0.540126,0.0677966,0.169636,0.317559,0.10947
24.09,0.14224,0.146021,1.00965,0.0289552,0.16862,1.07768,0.12006,0.163524,1.08204,-0.017668,0.388929,1.05832,0.208274,0.359615,1.05249,0.0202764,-0.0272338,0.321495,-0.0718417,0.0204028,0.166774,-0.0329956,0.0928794,0.0771116,-0.0333496,0.0201432,0.294057,0.117414,0.264521,0.0817078,0.214013,0.424675,0.0433349,0.177922,0.527808,0.067885,0.169657,0.305275,0.109749
24.1,0.143093,0.145408,1.0121,0.0300478,0.167884,1.08034,0.12121,0.162939,1.08456,-0.0171161,0.388014,1.06126,0.208932,0.358995,1.05499,0.0217034,-0.0153423,0.316163,-0.0711929,0.0399261,0.164115,-0.032366,0.115933,0.0776623,-0.031923,0.0337798,0.290862,0.117523,0.252394,0.0818772,0.214066,0.412321,0.0432716,0.178211,0.51548,0.067972,0.169784,0.293032,0.110047
24.11,0.143903,0.144719,1.01448,0.0310397,0.167256,1.08277,0.122166,0.162463,1.08692,-0.0165878,0.387032,1.064,0.209503,0.358385,1.05739,0.022605,-0.00220011,0.309227,-0.0698209,0.0586903,0.159667,-0.0316483,0.14021,0.077356,-0.030833,0.0479576,0.286248,0.115908,0.240836,0.081555,0.214202,0.399916,0.0432561,0.178407,0.503198,0.0679948,0.169798,0.28071,0.110332
24.12,0.144576,0.143924,1.01658,0.0319996,0.166279,1.08506,0.123133,0.161714,1.0891,-0.0159955,0.385929,1.06647,0.210179,0.357572,1.05951,0.023137,0.0116441,0.300952,-0.0692191,0.0790087,0.154351,-0.0310536,0.163006,0.0751898,-0.0301109,0.0627572,0.28035,0.115937,0.228575,0.081829,0.214579,0.387677,0.0433091,0.178598,0.490937,0.0680572,0.169746,0.268462,0.110752
24.13,0.145219,0.142985,1.01856,0.0329204,0.165129,1.08708,0.123946,0.161031,1.09103,-0.015461,0.384703,1.06866,0.210771,0.356734,1.06134,0.0236577,0.0260339,0.291445,-0.0686342,0.100031,0.148113,-0.0301411,0.186233,0.0721877,-0.029555,0.0782286,0.273316,0.115923,0.216418,0.0819061,0.214605,0.375426,0.0432431,0.178848,0.478728,0.0680375,0.169781,0.256142,0.110983
24.14,0.14574,0.14204,1.02026,0.0336498,0.164128,1.08872,0.124763,0.160128,1.09271,-0.0150748,0.383464,1.07056,0.211229,0.355823,1.06275,0.0237948,0.041305,0.280505,-0.0685352,0.121816,0.141071,-0.0302769,0.212085,0.069915,-0.0292223,0.0944086,0.265256,0.116099,0.204218,0.0822077,0.21475,0.363083,0.043244,0.178965,0.466527,0.0680007,0.169748,0.243947,0.111274
24.15,0.14621,0.140917,1.02175,0.0339993,0.163644,1.08998,0.125407,0.159294,1.09409,-0.0144534,0.381765,1.07185,0.21174,0.354822,1.06391,0.0238284,0.0571375,0.268514,-0.0685,0.145058,0.133927,-0.0311106,0.24161,0.0687552,-0.0291334,0.111058,0.256429,0.116165,0.1921,0.0823845,0.215093,0.350883,0.0432354,0.179107,0.454336,0.0679055,0.169741,0.231901,0.111501
24.16,0.146634,0.139721,1.02295,0.0346636,0.162109,1.09098,0.12596,0.158329,1.09514,-0.0141018,0.380281,1.07284,0.212104,0.353844,1.06461,0.0234993,0.073811,0.255481,-0.0690411,0.169074,0.1262,-0.0315581,0.268798,0.0663404,-0.0294251,0.128507,0.246699,0.116608,0.180158,0.0827102,0.215359,0.338666,0.0432761,0.179371,0.442118,0.0677654,0.169839,0.219765,0.11181
24.17,0.146909,0.138544,1.02389,0.0353421,0.16053,1.0917,0.126431,0.157249,1.09593,-0.0138109,0.378795,1.07351,0.212412,0.352839,1.06495,0.0226682,0.0911815,0.241752,-0.0700448,0.194138,0.11848,-0.0330463,0.297649,0.0650434,-0.0299413,0.146682,0.236544,0.118566,0.167247,0.0833784,0.215559,0.326403,0.0432338,0.179543,0.430007,0.0676647,0.169885,0.207734,0.112109
24.18,0.147214,0.137236,1.02454,0.0354162,0.159868,1.09199,0.126791,0.156283,1.09637,-0.0134105,0.377376,1.07381,0.212619,0.351729,1.06492,0.0222063,0.109647,0.226836,-0.0710951,0.219818,0.110681,-0.0348133,0.325583,0.0632767,-0.0306944,0.165703,0.22568,0.119294,0.153809,0.0842611,0.215762,0.314277,0.0431739,0.179955,0.417944,0.067455,0.170026,0.195793,0.1123
24.19,0.147446,0.135989,1.02492,0.0361102,0.158059,1.09217,0.127143,0.155191,1.09657,-0.013255,0.375768,1.07375,0.212812,0.350804,1.06467,0.0211778,0.129144,0.21174,-0.0725062,0.246244,0.103082,-0.0368112,0.356104,0.0632464,-0.0316401,0.18538,0.21449,0.119712,0.141689,0.0846441,0.215845,0.302278,0.0431686,0.179913,0.405922,0.0672744,0.169925,0.183965,0.112609
24.2,0.14766,0.134823,1.02504,0.0364235,0.156793,1.09218,0.127396,0.1542,1.09658,-0.0131651,0.37454,1.07344,0.212937,0.349766,1.06409,0.0199526,0.15002,0.196228,-0.0744246,0.273264,0.0957517,-0.0391327,0.3857,0.0628455,-0.0327473,0.205768,0.203139,0.119794,0.129623,0.0848111,0.215885,0.290066,0.0431501,0.180064,0.393924,0.0669443,0.169914,0.172227,0.112842
24.21,0.147838,0.133634,1.02496,0.0365591,0.155959,1.09191,0.127707,0.153178,1.09639,-0.013199,0.373443,1.07291,0.212997,0.348888,1.06332,0.0186932,0.17177,0.180781,-0.0766657,0.300905,0.0890005,-0.0419093,0.415311,0.0628318,-0.0339759,0.22693,0.191631,0.119836,0.117465,0.0849569,0.216092,0.278024,0.0431742,0.180008,0.381897,0.0667062,0.169827,0.160409,0.113179
24.22,0.14803,0.132661,1.02471,0.036765,0.154916,1.09152,0.12786,0.152404,1.09599,-0.013225,0.372155,1.07206,0.213071,0.348089,1.06235,0.017278,0.195137,0.16539,-0.0789987,0.329188,0.082728,-0.0450781,0.445202,0.0637323,-0.0354145,0.249032,0.18015,0.119087,0.106763,0.0841319,0.215959,0.265974,0.0431353,0.180058,0.369929,0.0664532,0.169565,0.14874,0.113508
24.23,0.148173,0.131682,1.02428,0.0370255,0.15384,1.09094,0.128095,0.151587,1.09548,-0.013278,0.371241,1.07107,0.212962,0.347357,1.06121,0.0159952,0.219321,0.150171,-0.081762,0.35774,0.0772209,-0.048415,0.475212,0.0654738,-0.0370818,0.270879,0.168818,0.118996,0.0945002,0.0842472,0.216038,0.253909,0.0431799,0.180325,0.357933,0.066132,0.169309,0.136934,0.113937
