timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
35.12,0.0264487,0.465992,0.985953,-0.0186008,0.470573,1.05096,0.051203,0.484628,1.05374,-0.0829661,0.680871,1.0008,0.119487,0.675779,1.0029,-0.0925963,0.704357,0.0783584,-0.185569,0.843644,0.0533554,-0.157214,0.910856,0.0786985,-0.14302,0.750803,0.10556,0.0280678,0.34569,0.0758297,0.113093,0.479523,0.051491,0.0882627,0.552871,0.0545166,0.0799152,0.402076,0.0890261
35.13,0.0254215,0.464945,0.984246,-0.0196546,0.470239,1.04919,0.0503269,0.483525,1.05191,-0.0827,0.680923,0.998326,0.11982,0.674406,1.00049,-0.0995977,0.730833,0.0722435,-0.187795,0.872955,0.0580466,-0.158,0.937722,0.0878047,-0.147508,0.776408,0.103746,0.0277647,0.333804,0.07637,0.113209,0.467363,0.0514516,0.088408,0.540866,0.0544808,0.0794963,0.390227,0.0894807
35.14,0.0241355,0.464022,0.982392,-0.0209026,0.470247,1.04701,0.0492001,0.482721,1.04989,-0.0821199,0.680865,0.995623,0.120045,0.673127,0.997975,-0.107403,0.756722,0.0664286,-0.18969,0.900449,0.064785,-0.158349,0.96223,0.0987728,-0.150883,0.799928,0.10308,0.0277086,0.322135,0.0767678,0.113352,0.455287,0.0514254,0.0886525,0.528694,0.0542196,0.0791787,0.378411,0.0900671
35.15,0.0227918,0.463181,0.980378,-0.0221639,0.469917,1.04481,0.0479089,0.481634,1.04766,-0.0818815,0.681131,0.992792,0.120148,0.671958,0.99537,-0.108858,0.77775,0.0664848,-0.191325,0.925597,0.0733604,-0.158113,0.984022,0.111104,-0.155345,0.822035,0.104778,0.0269068,0.310218,0.0770883,0.113415,0.443119,0.0513726,0.0889982,0.51681,0.0542192,0.0789643,0.366572,0.0908357
35.16,0.0213138,0.462137,0.978209,-0.0238708,0.469997,1.04241,0.0464626,0.480917,1.04522,-0.0816956,0.68154,0.989748,0.120174,0.670896,0.992728,-0.111565,0.797139,0.0659759,-0.192242,0.947756,0.0835354,-0.15672,1.00301,0.123664,-0.157231,0.841591,0.107611,0.0266084,0.298535,0.0779183,0.113618,0.431043,0.0514886,0.0892957,0.504528,0.0537609,0.0786302,0.354729,0.091693
35.17,0.0195004,0.461586,0.976022,-0.0255353,0.470097,1.03976,0.0448046,0.48021,1.04282,-0.0815119,0.682035,0.986686,0.120121,0.669905,0.989991,-0.113716,0.816018,0.0650378,-0.191829,0.965786,0.0943501,-0.154152,1.01866,0.135392,-0.156457,0.857611,0.110592,0.0261319,0.287142,0.0790986,0.113704,0.419024,0.0514536,0.0894955,0.492592,0.0535721,0.0784416,0.342894,0.0929174
35.18,0.0178071,0.461063,0.973821,-0.027442,0.470472,1.03709,0.0431775,0.479413,1.04037,-0.0814918,0.682875,0.98347,0.119792,0.668901,0.987314,-0.112003,0.830656,0.0651564,-0.190343,0.979038,0.102316,-0.152023,1.03018,0.144713,-0.154744,0.870244,0.1131,0.0258898,0.275721,0.0805446,0.113742,0.407068,0.0515625,0.0896856,0.480583,0.053202,0.0780704,0.331539,0.0939687
35.19,0.0159297,0.460819,0.971625,-0.0291555,0.470457,1.03457,0.0413105,0.478787,1.03784,-0.0815204,0.683737,0.980186,0.119381,0.668011,0.9847,-0.107737,0.841059,0.064417,-0.188714,0.987656,0.104306,-0.152383,1.03693,0.150403,-0.152927,0.878448,0.113727,0.0266349,0.265245,0.0822664,0.113811,0.395193,0.0516449,0.0899257,0.468712,0.0529087,0.0775009,0.320249,0.095147
35.2,0.0140444,0.460553,0.969471,-0.0313075,0.471013,1.03208,0.0386508,0.477755,1.03579,-0.0816545,0.684668,0.977074,0.119037,0.667219,0.982156,-0.103144,0.846036,0.0625434,-0.185503,0.991892,0.0997196,-0.154033,1.03896,0.151526,-0.149269,0.88141,0.109834,0.0253859,0.253173,0.0840364,0.113873,0.383204,0.0517169,0.0902167,0.45678,0.0526141,0.0772787,0.309156,0.096417
35.21,0.0119934,0.460783,0.967198,-0.0333163,0.471404,1.02983,0.0366282,0.477766,1.03348,-0.0821501,0.685678,0.974191,0.118327,0.666734,0.979747,-0.0989512,0.84531,0.0600131,-0.182787,0.991153,0.0935633,-0.154411,1.03733,0.148337,-0.145996,0.880207,0.105548,0.0256284,0.242048,0.0864333,0.114149,0.371392,0.0518749,0.0907592,0.444764,0.0522219,0.0779434,0.298081,0.0981189
