timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
29.96,-0.0101977,0.30142,0.953704,-0.0513576,0.318228,1.02057,0.0185341,0.313334,1.01953,-0.0866098,0.538289,0.962746,0.111674,0.495733,0.963575,-0.0524254,-0.00106683,0.129218,-0.131988,0.120147,0.0436214,-0.100496,0.192515,0.0487737,-0.097303,0.0586461,0.13435,0.0251675,0.615243,0.066602,0.113916,0.747427,0.0574431,0.0899048,0.81632,0.0744781,0.0805766,0.662919,0.0848338
29.97,-0.00806859,0.303451,0.952868,-0.0492753,0.31986,1.01941,0.0205842,0.315719,1.01865,-0.0858563,0.539784,0.962872,0.11276,0.498853,0.963105,-0.053909,-0.0080637,0.13675,-0.13226,0.109391,0.0445309,-0.10054,0.181086,0.0479206,-0.0989822,0.0515234,0.139238,0.0264764,0.60496,0.0680375,0.115999,0.737496,0.0535809,0.0923491,0.807937,0.0662379,0.0814367,0.65408,0.0837783
29.98,-0.00563353,0.305157,0.952384,-0.0471269,0.321344,1.01874,0.0228162,0.317718,1.01847,-0.0851751,0.540682,0.963381,0.113447,0.501693,0.962928,-0.0556188,-0.013829,0.145416,-0.132494,0.0986202,0.0458083,-0.100869,0.170449,0.0476526,-0.100754,0.0451809,0.14488,0.0272423,0.594117,0.0682677,0.116677,0.726165,0.0532397,0.0940523,0.798115,0.063772,0.0821962,0.643465,0.0834828
29.99,-0.00307022,0.306704,0.952378,-0.0450165,0.322508,1.01852,0.0249325,0.319288,1.01893,-0.0844633,0.542035,0.964386,0.114379,0.50463,0.963499,-0.057126,-0.0176828,0.155218,-0.132734,0.0885776,0.0476914,-0.100837,0.159568,0.0471292,-0.102525,0.0405647,0.150944,0.0279193,0.582407,0.0684579,0.116797,0.714639,0.0531311,0.0938723,0.786814,0.0619732,0.0826218,0.632111,0.0835371
30,-0.0007727,0.308171,0.952807,-0.0429764,0.323176,1.01891,0.0269228,0.320378,1.01994,-0.0835569,0.543325,0.965127,0.115309,0.507155,0.964735,-0.0580474,-0.0190303,0.165759,-0.132804,0.0792035,0.049987,-0.10045,0.149246,0.0469813,-0.103991,0.0378539,0.157369,0.0286881,0.570637,0.0689326,0.116937,0.703121,0.0529571,0.0939148,0.77578,0.06098,0.0831489,0.621035,0.0837481
30.01,0.00140194,0.308995,0.953531,-0.0411206,0.323879,1.01963,0.0287321,0.321126,1.02099,-0.0823195,0.544324,0.966288,0.116311,0.509111,0.966346,-0.0582948,-0.0176666,0.177001,-0.132621,0.0703031,0.0527442,-0.10003,0.138904,0.0472007,-0.105605,0.0366944,0.164017,0.0294417,0.558742,0.0694107,0.117194,0.691456,0.0528231,0.0938289,0.764494,0.0598862,0.0838008,0.609911,0.0838315
30.02,0.00323334,0.310406,0.954096,-0.0391884,0.324158,1.02044,0.0305558,0.321732,1.02203,-0.0807926,0.545069,0.967261,0.117385,0.510519,0.968212,-0.0589687,-0.0140524,0.188942,-0.132737,0.061592,0.0560278,-0.0999406,0.128825,0.0474953,-0.108039,0.0370737,0.171209,0.0300493,0.5467,0.0696413,0.117603,0.679634,0.0527637,0.0943776,0.752889,0.0592567,0.0838685,0.598359,0.0838959
30.03,0.00545238,0.311144,0.95492,-0.0370504,0.324112,1.02139,0.0325371,0.322405,1.023,-0.0791341,0.545339,0.968387,0.118716,0.51172,0.970419,-0.0611277,-0.00862772,0.201815,-0.133374,0.0541223,0.0612622,-0.100281,0.120233,0.0482839,-0.110405,0.0397659,0.178823,0.0301017,0.535114,0.0693123,0.117689,0.667902,0.0528261,0.0944578,0.741436,0.0587054,0.0838353,0.586989,0.0839895
30.04,0.00784719,0.311603,0.955993,-0.0349068,0.324175,1.02241,0.0347062,0.323575,1.02411,-0.0774,0.544772,0.969558,0.120193,0.512872,0.972795,-0.0639335,-0.00172395,0.215439,-0.1339,0.0487556,0.0689045,-0.100578,0.113294,0.0497539,-0.112497,0.0442087,0.187322,0.0298496,0.523396,0.0696859,0.117556,0.656082,0.0527732,0.094356,0.729724,0.058239,0.0833534,0.575392,0.0839957
30.05,0.0103874,0.312027,0.957163,-0.0326501,0.323846,1.02354,0.0370274,0.324178,1.02537,-0.0761125,0.544183,0.97096,0.121518,0.513698,0.975056,-0.0664438,0.00712827,0.229872,-0.134564,0.0458707,0.0786399,-0.10121,0.107809,0.0517131,-0.113091,0.0494756,0.197285,0.0298095,0.511529,0.0697452,0.117552,0.644126,0.0528121,0.0943608,0.717936,0.0579101,0.0829702,0.563545,0.0839702
