timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
25.04,0.0700566,0.312007,0.965657,-0.0128434,0.336519,1.04295,0.105468,0.343987,1.04037,-0.0283883,0.576966,1.01392,0.0920218,0.582618,1.00946,-0.0683669,0.555384,0.0785919,-0.144255,0.668332,0.0338572,-0.11938,0.784058,0.0658724,-0.111783,0.598153,0.0930666,0.0719914,0.246157,0.0644049,0.136194,0.387788,0.0462312,0.100025,0.477303,0.044629,0.11872,0.291541,0.0761413
25.05,0.0688839,0.3115,0.964462,-0.0140255,0.336628,1.04144,0.104514,0.343747,1.03883,-0.0286652,0.577315,1.01137,0.09172,0.582594,1.00659,-0.0719122,0.581087,0.0720841,-0.146123,0.697277,0.0331875,-0.120196,0.810741,0.0713775,-0.114584,0.623013,0.0883761,0.0715411,0.234354,0.0649783,0.136101,0.375832,0.0462486,0.100035,0.465357,0.0445576,0.118144,0.27981,0.0766966
25.06,0.0677425,0.311327,0.963374,-0.0150612,0.336395,1.03991,0.103612,0.343732,1.03731,-0.0293018,0.57773,1.00874,0.0912695,0.582747,1.00374,-0.0754617,0.605126,0.0669105,-0.147466,0.724902,0.0338297,-0.120187,0.835873,0.0786498,-0.117243,0.647263,0.0854986,0.0710705,0.222433,0.065783,0.136096,0.36376,0.0463193,0.100644,0.453408,0.0444664,0.117725,0.268202,0.0774222
25.07,0.0666558,0.311585,0.962236,-0.0161777,0.336479,1.03824,0.102866,0.343763,1.03578,-0.0299883,0.578283,1.00608,0.0904867,0.583372,1.00085,-0.0786809,0.628096,0.0631254,-0.148379,0.750605,0.0359929,-0.119758,0.858914,0.0868957,-0.119865,0.670071,0.0841877,0.0704925,0.210764,0.0667197,0.136016,0.351669,0.0463485,0.10068,0.441369,0.0443693,0.117165,0.256485,0.0781379
25.08,0.0658371,0.311895,0.961133,-0.0173561,0.336729,1.03651,0.102102,0.344182,1.0342,-0.0308792,0.578935,1.00343,0.0895681,0.58403,0.997882,-0.0814886,0.648229,0.0605853,-0.148873,0.773518,0.0394987,-0.118602,0.878948,0.0957042,-0.121817,0.689477,0.0834554,0.0698959,0.198996,0.0678533,0.135823,0.339676,0.0464161,0.100824,0.429353,0.0442915,0.116765,0.244898,0.0790738
25.09,0.0648591,0.312638,0.960066,-0.018371,0.337171,1.03466,0.101471,0.344709,1.03257,-0.0319127,0.57968,1.00074,0.0885757,0.584748,0.995021,-0.0832988,0.665361,0.058872,-0.148618,0.792824,0.0443693,-0.116197,0.894949,0.1046,-0.12269,0.706369,0.0842417,0.0694219,0.187251,0.0692454,0.135393,0.327453,0.0463226,0.100909,0.417443,0.0441261,0.116325,0.23319,0.0800984
25.1,0.0639852,0.313537,0.958694,-0.0193564,0.337668,1.03269,0.100823,0.345411,1.03077,-0.0329736,0.580294,0.998119,0.087539,0.58564,0.992306,-0.0837542,0.679161,0.0570633,-0.147572,0.807986,0.0494538,-0.112574,0.907549,0.113322,-0.122156,0.719587,0.0850116,0.068997,0.175666,0.0709236,0.135272,0.315486,0.0463848,0.100965,0.40537,0.0440723,0.116038,0.221922,0.0812968
25.11,0.063236,0.31457,0.957179,-0.0201624,0.337967,1.03073,0.100054,0.346529,1.02884,-0.0340647,0.581123,0.995536,0.0864793,0.586612,0.989801,-0.0828317,0.689021,0.0550896,-0.145436,0.818766,0.0533224,-0.108645,0.915,0.120208,-0.1206,0.729224,0.0852076,0.0686628,0.16419,0.072884,0.13514,0.30347,0.0464648,0.10068,0.393332,0.0438099,0.115803,0.21055,0.0827244
25.12,0.0624706,0.315636,0.955358,-0.0208742,0.338728,1.02867,0.0994529,0.347696,1.02681,-0.0352106,0.582014,0.992948,0.0854112,0.587452,0.987378,-0.0807656,0.695126,0.0528574,-0.142368,0.825311,0.0546054,-0.104959,0.919423,0.124498,-0.118277,0.734752,0.0840068,0.0686122,0.152821,0.0753078,0.135066,0.291601,0.0465804,0.100791,0.381503,0.0436205,0.11567,0.199288,0.0844257
25.13,0.0617079,0.316821,0.95332,-0.0215008,0.339567,1.02659,0.0986731,0.349066,1.02474,-0.036478,0.58302,0.990593,0.0842389,0.588599,0.985125,-0.0775221,0.696795,0.050275,-0.13846,0.827675,0.0528552,-0.101872,0.920306,0.124993,-0.115339,0.736391,0.0814314,0.0686543,0.141649,0.07814,0.135006,0.279857,0.0466756,0.10078,0.369474,0.0434606,0.115839,0.188319,0.08639
25.14,0.0609894,0.318123,0.951031,-0.0223222,0.340815,1.02432,0.0978856,0.350569,1.02252,-0.0378207,0.584209,0.988431,0.0830217,0.589735,0.983111,-0.0742188,0.694724,0.0470702,-0.134175,0.826266,0.0483526,-0.0984758,0.9178,0.121966,-0.112011,0.734792,0.078126,0.0689322,0.130683,0.0816264,0.135076,0.268024,0.0469633,0.101023,0.357647,0.0432688,0.116215,0.177637,0.0888083
25.15,0.0601736,0.319618,0.948647,-0.0229827,0.341952,1.02202,0.0968806,0.352119,1.02028,-0.0391029,0.585502,0.986472,0.0816673,0.591053,0.981296,-0.0716505,0.68856,0.0457585,-0.129808,0.820944,0.0421407,-0.0945947,0.912184,0.115028,-0.109074,0.729216,0.0743974,0.0694712,0.119881,0.0858916,0.135141,0.256452,0.0472742,0.101069,0.345699,0.0430482,0.11676,0.167245,0.0917585
25.16,0.0592763,0.321061,0.946292,-0.0240645,0.343598,1.01975,0.0958024,0.353742,1.01807,-0.0405418,0.587044,0.984735,0.0802987,0.592418,0.97967,-0.0711118,0.67819,0.0467451,-0.126056,0.811959,0.0353095,-0.0881795,0.904972,0.104841,-0.107042,0.720431,0.0718623,0.0700697,0.109715,0.0908504,0.135228,0.245026,0.047728,0.10119,0.333838,0.0428306,0.117232,0.157064,0.0952508
25.17,0.0580336,0.322668,0.94394,-0.025182,0.345171,1.01751,0.094634,0.355186,1.01602,-0.0421062,0.588822,0.983265,0.0788234,0.594126,0.978239,-0.0712417,0.669002,0.0479181,-0.123938,0.802147,0.0285929,-0.0821031,0.898677,0.0926129,-0.106305,0.712802,0.070033,0.0709347,0.0999514,0.097035,0.135499,0.233694,0.0484422,0.101225,0.322003,0.0425668,0.118156,0.147567,0.0993288
25.18,0.056572,0.324378,0.941814,-0.026612,0.346511,1.01546,0.0933473,0.356449,1.014,-0.0436608,0.590669,0.982108,0.0774118,0.595933,0.977026,-0.0709638,0.661764,0.0513516,-0.122645,0.7934,0.0208578,-0.0801155,0.894507,0.0752655,-0.106525,0.706565,0.0688017,0.0716627,0.0913367,0.103837,0.135769,0.222729,0.0492217,0.101326,0.310234,0.0423714,0.119036,0.1388,0.104079
25.19,0.0549843,0.326016,0.940002,-0.0280178,0.347775,1.01379,0.0919645,0.357564,1.01212,-0.0451561,0.592572,0.98123,0.0759995,0.597678,0.976084,-0.0713429,0.654838,0.0544081,-0.125558,0.784147,0.020673,-0.0793959,0.894317,0.0556932,-0.105402,0.701561,0.0688186,0.0726589,0.0836562,0.112163,0.136104,0.21209,0.0502808,0.101371,0.298341,0.0422998,0.120423,0.130909,0.10964
25.2,0.0533774,0.327788,0.938392,-0.0293715,0.349082,1.01276,0.0905066,0.358975,1.01058,-0.0468869,0.594589,0.980726,0.0745174,0.59924,0.975593,-0.0703269,0.646388,0.0567028,-0.126075,0.77417,0.0215197,-0.0769356,0.887334,0.0494975,-0.103628,0.693725,0.0696275,0.0736188,0.0774156,0.121903,0.136469,0.201889,0.0516295,0.10068,0.286283,0.0419678,0.121646,0.124044,0.115907
25.21,0.0517155,0.329604,0.937125,-0.0305765,0.350181,1.01267,0.0891584,0.360318,1.00951,-0.0485384,0.596292,0.980764,0.0729408,0.600725,0.975607,-0.0696558,0.634316,0.0567438,-0.125749,0.762297,0.0217169,-0.0766796,0.874624,0.0518292,-0.102163,0.683427,0.0704105,0.0741615,0.0735103,0.132783,0.136682,0.192239,0.0533238,0.100654,0.274249,0.0417837,0.122817,0.118777,0.123063
25.22,0.050389,0.331104,0.936333,-0.0315394,0.350971,1.01337,0.0879729,0.361472,1.00897,-0.0503978,0.597656,0.981335,0.071124,0.601932,0.976236,-0.0694648,0.622768,0.0572525,-0.125593,0.750614,0.0218056,-0.0763606,0.863268,0.0501609,-0.101654,0.671724,0.0705886,0.0745664,0.072121,0.144759,0.136688,0.183522,0.0554398,0.100753,0.262439,0.0412525,0.124046,0.115394,0.130995
25.23,0.0494652,0.332345,0.936018,-0.0324044,0.351888,1.01461,0.0869742,0.362539,1.00896,-0.0523566,0.598508,0.982493,0.0693322,0.602841,0.977345,-0.0698183,0.611778,0.0579872,-0.125961,0.739042,0.0218818,-0.0764784,0.852551,0.0480996,-0.101636,0.66092,0.0714925,0.0746314,0.0736671,0.157156,0.136619,0.175715,0.0579878,0.100905,0.250729,0.040397,0.124987,0.114296,0.139565
25.24,0.0487544,0.333211,0.936125,-0.0330578,0.352519,1.01606,0.0860493,0.363279,1.00937,-0.0543131,0.599133,0.984225,0.0672007,0.603257,0.978935,-0.0699881,0.599802,0.0580104,-0.126118,0.72715,0.02188,-0.0765297,0.840534,0.0476925,-0.101505,0.650332,0.0718714,0.0749648,0.0782762,0.169474,0.136695,0.169264,0.0607628,0.101135,0.2391,0.0392413,0.12614,0.115639,0.148125
