timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
20.13,0.0354328,0.357106,0.932047,-0.0513678,0.391372,1.00994,0.0686772,0.381723,1.0071,-0.0480607,0.634925,0.975456,0.0732399,0.629257,0.982959,-0.107804,0.0906141,0.173635,-0.155417,0.153547,0.0499037,-0.102941,0.250403,0.0430552,-0.14127,0.134788,0.148982,0.0626416,0.629378,0.0568542,0.125255,0.770073,0.0451779,0.0928411,0.859989,0.0476831,0.109268,0.672811,0.0696813
20.14,0.0372032,0.358182,0.932939,-0.0499998,0.391704,1.01027,0.0700937,0.382773,1.00847,-0.0475907,0.634812,0.977315,0.0737854,0.630384,0.985275,-0.105626,0.0977729,0.187384,-0.154349,0.148806,0.0576555,-0.102549,0.240376,0.0416485,-0.140255,0.140749,0.157627,0.0631226,0.617431,0.0570063,0.12568,0.758166,0.0451531,0.0930193,0.848033,0.0470631,0.109423,0.660995,0.0697637
20.15,0.0391374,0.359048,0.934065,-0.0487066,0.391258,1.01071,0.0713998,0.384129,1.00995,-0.0472185,0.634416,0.9794,0.0739897,0.631088,0.987878,-0.104588,0.10771,0.200094,-0.152709,0.146243,0.0671537,-0.102219,0.23272,0.0409765,-0.136093,0.147292,0.168334,0.0634299,0.605418,0.0572065,0.125851,0.74623,0.0451785,0.0930847,0.836228,0.0465265,0.109688,0.649245,0.0698104
20.16,0.0412814,0.359718,0.9353,-0.0472764,0.39028,1.01127,0.0729336,0.385428,1.01141,-0.047129,0.633885,0.981518,0.0738277,0.631648,0.990487,-0.10345,0.118132,0.213725,-0.151987,0.144815,0.0779032,-0.102058,0.22624,0.0409539,-0.134563,0.154876,0.178042,0.063508,0.593462,0.0571162,0.125983,0.734171,0.0452383,0.0930389,0.824175,0.0462813,0.109895,0.637369,0.0698435
20.17,0.0436351,0.360376,0.936593,-0.0456757,0.389669,1.01183,0.0744998,0.386788,1.01304,-0.0473019,0.633077,0.983543,0.0733676,0.631956,0.993008,-0.101845,0.130786,0.226894,-0.151336,0.146364,0.0899337,-0.101575,0.223263,0.0420344,-0.133336,0.163926,0.187935,0.0638301,0.581162,0.0573508,0.126106,0.72201,0.0453016,0.0927806,0.81194,0.0460494,0.110154,0.625242,0.0699281
20.18,0.046187,0.360895,0.938099,-0.0438717,0.38884,1.01267,0.0762333,0.387901,1.01487,-0.0478736,0.632166,0.985589,0.0727218,0.632204,0.995283,-0.0997334,0.143975,0.23902,-0.150721,0.152197,0.101963,-0.102235,0.225821,0.0424844,-0.131535,0.174042,0.198561,0.0638874,0.569062,0.0573984,0.126227,0.709861,0.0452943,0.093106,0.799809,0.0459165,0.110261,0.613111,0.0699707
20.19,0.0489453,0.361299,0.939767,-0.04173,0.388342,1.01378,0.0782004,0.388937,1.01694,-0.048537,0.6312,0.987594,0.0718597,0.632633,0.997341,-0.0979899,0.154908,0.248703,-0.149799,0.162259,0.111804,-0.10166,0.234472,0.0426832,-0.129864,0.18458,0.208009,0.0641572,0.55684,0.0575378,0.126289,0.697618,0.0453063,0.0931732,0.787723,0.0458405,0.110351,0.60107,0.0700353
20.2,0.0517948,0.361433,0.941658,-0.0396381,0.387587,1.01521,0.0803675,0.389569,1.01914,-0.0494855,0.630129,0.989742,0.0709282,0.633006,0.999192,-0.0960002,0.165115,0.255609,-0.148284,0.174828,0.119165,-0.100229,0.249143,0.0480459,-0.128217,0.195752,0.215212,0.0641387,0.544719,0.0576579,0.126342,0.685474,0.0453619,0.0931608,0.775516,0.0457057,0.110288,0.589012,0.0702213
20.21,0.0546171,0.361384,0.943929,-0.0373141,0.386751,1.01704,0.0825768,0.389994,1.02151,-0.0504287,0.629067,0.991934,0.069814,0.633296,1.00089,-0.0933839,0.175754,0.260254,-0.146645,0.189134,0.124279,-0.0992011,0.26578,0.0547193,-0.126042,0.207679,0.220866,0.06419,0.532547,0.0578579,0.126366,0.673296,0.0454367,0.093117,0.763381,0.0456532,0.110273,0.576839,0.0702852
20.22,0.0571685,0.361268,0.946606,-0.0350578,0.386044,1.01944,0.084781,0.390302,1.02407,-0.0514955,0.628002,0.994208,0.06869,0.633567,1.00273,-0.0904559,0.187143,0.26275,-0.144701,0.204751,0.127548,-0.0988564,0.283897,0.0587811,-0.123298,0.220184,0.224945,0.0639904,0.520215,0.0578737,0.126285,0.661061,0.0455285,0.0931514,0.751115,0.0455868,0.110118,0.564599,0.0705033
