timeList,torsoBackBottomX,torsoBackBottomY,torsoBackBottomZ,torsoBackLeftX,torsoBackLeftY,torsoBackLeftZ,torsoBackRightX,torsoBackRightY,torsoBackRightZ,torsoFrontLeftX,torsoFrontLeftY,torsoFrontLeftZ,torsoFrontRightX,torsoFrontRightY,torsoFrontRightZ,lFootHeelX,lFootHeelY,lFootHeelZ,lFootMidX,lFootMidY,lFootMidZ,lFootToeX,lFootToeY,lFootToeZ,lFootAnkleX,lFootAnkleY,lFootAnkleZ,rFootHeelX,rFootHeelY,rFootHeelZ,rFootMidX,rFootMidY,rFootMidZ,rFootToeX,rFootToeY,rFootToeZ,rFootAnkleX,rFootAnkleY,rFootAnkleZ
23.24,-0.00139021,0.265671,0.929727,-0.0864115,0.271647,1.00944,-0.0102787,0.270559,1.01071,-0.180112,0.570135,0.936429,0.0516379,0.579998,0.91814,-0.144538,0.59779,0.0709329,-0.223685,0.756006,0.0530048,-0.19729,0.819177,0.0955636,-0.19397,0.632486,0.0849199,0.00467318,0.0293481,0.13495,0.0917962,0.168486,0.0529466,0.0514344,0.236977,0.0573406,0.0588538,0.0878786,0.13715
23.25,-0.00427585,0.267933,0.927798,-0.0891017,0.273828,1.0079,-0.0126922,0.272079,1.00894,-0.182281,0.572909,0.935922,0.0495153,0.581916,0.917297,-0.145197,0.589213,0.0723907,-0.22291,0.748594,0.0485358,-0.193493,0.81386,0.0866093,-0.194819,0.625937,0.0842814,0.00545362,0.0238045,0.143305,0.0924092,0.157943,0.0533937,0.0514469,0.224632,0.0574606,0.0599636,0.0816353,0.142637
23.26,-0.00742633,0.27001,0.926068,-0.0918618,0.275933,1.0068,-0.0154054,0.273793,1.0074,-0.184541,0.575868,0.935953,0.0472962,0.583777,0.916874,-0.145871,0.579472,0.0735246,-0.223063,0.739055,0.0458818,-0.193915,0.805806,0.0820026,-0.195156,0.617736,0.0842616,0.0062003,0.0201304,0.15267,0.0929571,0.147634,0.053805,0.0514931,0.212364,0.0574256,0.0613363,0.0768955,0.148772
23.27,-0.0108584,0.272042,0.924337,-0.0947943,0.278396,1.00644,-0.0181439,0.27503,1.0064,-0.186923,0.578954,0.936789,0.044728,0.585489,0.917128,-0.146383,0.569236,0.0744588,-0.223187,0.729102,0.0447156,-0.192681,0.796859,0.0780508,-0.19562,0.60871,0.0847742,0.00657751,0.0190966,0.162924,0.0936532,0.137893,0.054443,0.051399,0.200345,0.0577008,0.0625405,0.0743154,0.155403
23.28,-0.0144075,0.273734,0.922915,-0.09766,0.280738,1.00683,-0.0210274,0.276138,1.00586,-0.189502,0.581878,0.938431,0.0419868,0.586788,0.917965,-0.147227,0.558431,0.0751626,-0.22348,0.718099,0.0437972,-0.190255,0.786826,0.0745141,-0.195954,0.598268,0.0851318,0.00653448,0.0208339,0.173798,0.0939987,0.128883,0.055494,0.0515052,0.189376,0.057525,0.0634143,0.0736477,0.162518
23.29,-0.0178046,0.27504,0.921706,-0.100153,0.28235,1.00777,-0.0238831,0.276898,1.0059,-0.192068,0.584345,0.940631,0.0390784,0.587847,0.91927,-0.147904,0.546727,0.0758569,-0.223925,0.706461,0.0431582,-0.191272,0.775928,0.0735013,-0.19665,0.587409,0.085532,0.00617212,0.0251553,0.185811,0.0941248,0.120865,0.0574986,0.0523069,0.180004,0.0566077,0.0638814,0.0753641,0.16979
23.3,-0.0209944,0.275901,0.920889,-0.102691,0.283716,1.00917,-0.0264671,0.277197,1.00645,-0.194563,0.586242,0.943323,0.0362526,0.588559,0.920998,-0.149023,0.535219,0.0762933,-0.224397,0.694764,0.0427564,-0.191283,0.764617,0.0725269,-0.197457,0.576281,0.0857102,0.0056747,0.0324074,0.198394,0.0938913,0.114019,0.0604378,0.0535867,0.172426,0.0546569,0.0640111,0.0794017,0.177306
23.31,-0.023871,0.276203,0.920348,-0.104869,0.284186,1.01077,-0.0291171,0.277507,1.00733,-0.196837,0.587721,0.946421,0.0335832,0.588912,0.922916,-0.149742,0.523271,0.0765636,-0.224943,0.682852,0.0424946,-0.191247,0.753023,0.0716147,-0.197995,0.564568,0.085626,0.00521542,0.04197,0.211361,0.0934531,0.108345,0.064635,0.0549454,0.165484,0.0530507,0.0640539,0.0854519,0.184969
23.32,-0.026626,0.275878,0.919957,-0.107054,0.284656,1.0123,-0.0315146,0.277389,1.00852,-0.198839,0.58878,0.949609,0.0313899,0.589196,0.924837,-0.150067,0.511172,0.0766937,-0.225386,0.67086,0.0422117,-0.191042,0.741313,0.070515,-0.198479,0.552868,0.0855962,0.0047719,0.0538901,0.224109,0.0929057,0.103908,0.0702108,0.0569877,0.16029,0.0504029,0.0641668,0.0926771,0.193235
23.33,-0.0296152,0.275566,0.919685,-0.109341,0.285177,1.01399,-0.0339422,0.277236,1.00982,-0.200404,0.589589,0.952781,0.0294299,0.588571,0.926651,-0.150601,0.499305,0.076844,-0.225744,0.658664,0.0418934,-0.191156,0.729196,0.0700972,-0.198697,0.541103,0.0856237,0.0044094,0.0682846,0.236652,0.0921224,0.101453,0.07746,0.0585922,0.156569,0.0470572,0.0642969,0.101993,0.201655
23.34,-0.0327114,0.274962,0.919541,-0.1115,0.285528,1.0156,-0.0363503,0.277061,1.01122,-0.201338,0.59027,0.955773,0.028209,0.587834,0.928279,-0.150763,0.487292,0.0769502,-0.225901,0.646791,0.0418988,-0.191126,0.717415,0.0698249,-0.19882,0.529133,0.0856563,0.003793,0.0843057,0.247674,0.0914355,0.100745,0.0856552,0.0591401,0.152072,0.0440745,0.0642885,0.112532,0.209747
23.35,-0.0358408,0.2741,0.919641,-0.113884,0.285814,1.01719,-0.0389245,0.276936,1.01269,-0.201808,0.590983,0.958289,0.0275624,0.586703,0.929664,-0.150688,0.475308,0.077085,-0.225964,0.634574,0.0416451,-0.191021,0.705585,0.0695053,-0.198607,0.517035,0.0858837,0.00314916,0.101851,0.257081,0.0908051,0.101618,0.0943481,0.0611792,0.14828,0.0403339,0.0644035,0.124083,0.217078
23.36,-0.0391538,0.273273,0.919981,-0.116368,0.286065,1.01887,-0.0414691,0.27649,1.01435,-0.201779,0.591417,0.960397,0.0276323,0.585636,0.930913,-0.150285,0.463079,0.0773157,-0.225985,0.622432,0.0415346,-0.19075,0.693635,0.0690943,-0.198552,0.505612,0.0859774,0.00269079,0.119999,0.264729,0.0898092,0.105269,0.102245,0.0624371,0.144338,0.0361624,0.064421,0.136361,0.22337
23.37,-0.042438,0.272193,0.920963,-0.118805,0.28577,1.0207,-0.0445147,0.276725,1.01596,-0.201416,0.591588,0.961899,0.0280323,0.584342,0.932039,-0.150189,0.451187,0.077464,-0.22595,0.610479,0.0416958,-0.190527,0.68164,0.068764,-0.198407,0.493999,0.0863312,0.0021762,0.135454,0.270823,0.0893021,0.113103,0.109012,0.0636087,0.140619,0.0332845,0.0641593,0.148462,0.229255
23.38,-0.0456436,0.271259,0.922474,-0.12148,0.285459,1.02269,-0.0469705,0.275759,1.01788,-0.200975,0.59132,0.962977,0.0284549,0.582905,0.933123,-0.149583,0.438977,0.0775119,-0.225864,0.598303,0.0417327,-0.190403,0.669885,0.0683783,-0.198155,0.482464,0.0867603,0.001839,0.145804,0.27605,0.0888491,0.126507,0.113798,0.0618447,0.161717,0.0451973,0.0634975,0.160069,0.234447
23.39,-0.0487697,0.270696,0.924449,-0.124154,0.284594,1.02479,-0.0495616,0.274944,1.01989,-0.200379,0.590996,0.963703,0.0292506,0.581583,0.934231,-0.149721,0.426966,0.078127,-0.225749,0.586357,0.0418713,-0.190028,0.658092,0.0678542,-0.197768,0.470903,0.0872474,0.00146217,0.153628,0.279853,0.0884066,0.144502,0.116551,0.0592842,0.183229,0.0502448,0.0625647,0.171754,0.238778
23.4,-0.0512597,0.269482,0.927101,-0.126681,0.283845,1.02708,-0.0521337,0.274315,1.02203,-0.199741,0.590058,0.964244,0.0298289,0.580229,0.935526,-0.148878,0.414627,0.0784899,-0.225509,0.574225,0.0420018,-0.189632,0.646235,0.0673976,-0.197223,0.459454,0.0878992,0.00103508,0.161076,0.281655,0.0880418,0.165155,0.117835,0.0576086,0.207971,0.0534788,0.0615213,0.184064,0.241258
23.41,-0.0534101,0.268365,0.929855,-0.129018,0.282782,1.02937,-0.0546353,0.273472,1.02429,-0.199197,0.588914,0.964938,0.030567,0.578988,0.936972,-0.148572,0.402636,0.0788967,-0.225241,0.561865,0.042189,-0.1892,0.634402,0.0669477,-0.196746,0.447874,0.0885932,0.000468413,0.169119,0.28139,0.0876805,0.187,0.118523,0.0562008,0.234102,0.0573727,0.0601147,0.196749,0.242464
23.42,-0.0552854,0.267033,0.932794,-0.131294,0.281866,1.03173,-0.0569216,0.272598,1.02658,-0.198825,0.587546,0.965773,0.0309227,0.57773,0.938604,-0.148002,0.390426,0.0792711,-0.224916,0.549882,0.0423895,-0.188854,0.622459,0.0664814,-0.196271,0.436225,0.0890514,-0.000624509,0.178957,0.279214,0.0873095,0.208641,0.118479,0.055229,0.260012,0.0605566,0.0586417,0.21024,0.242557
23.43,-0.0567498,0.265648,0.935819,-0.133402,0.281042,1.03415,-0.0590359,0.271398,1.02898,-0.19878,0.586081,0.966939,0.0312461,0.576416,0.940498,-0.147655,0.378443,0.0796512,-0.224583,0.537748,0.0425882,-0.188423,0.610598,0.0660525,-0.19562,0.424543,0.0898069,-0.0017462,0.190629,0.275348,0.0871593,0.229423,0.117235,0.0553547,0.283832,0.0620013,0.057558,0.224279,0.240758
23.44,-0.0578653,0.263976,0.938866,-0.135299,0.280062,1.03644,-0.0608458,0.270082,1.03139,-0.1989,0.584469,0.968276,0.0312468,0.574945,0.942509,-0.147162,0.366429,0.0800688,-0.224396,0.526186,0.0431375,-0.187966,0.59865,0.0656436,-0.195086,0.413145,0.090554,-0.00325561,0.204138,0.2701,0.0868688,0.249539,0.114642,0.0561979,0.306924,0.0617785,0.0565145,0.238908,0.237317
23.45,-0.0590351,0.262794,0.941383,-0.136959,0.279317,1.03875,-0.0627076,0.268887,1.03375,-0.199328,0.583178,0.96986,0.0309877,0.573349,0.944603,-0.146506,0.354354,0.0805751,-0.224088,0.514306,0.0433669,-0.187702,0.586897,0.0653472,-0.19458,0.401528,0.0912926,-0.00474565,0.218515,0.263449,0.0868357,0.270318,0.110971,0.0574167,0.330526,0.060313,0.055446,0.254299,0.232762
23.46,-0.0600387,0.261532,0.943502,-0.138566,0.278786,1.04087,-0.0643255,0.267768,1.03604,-0.199979,0.581884,0.97148,0.0304998,0.571667,0.946727,-0.145829,0.342341,0.0811435,-0.223998,0.502433,0.0436474,-0.187582,0.57467,0.0650077,-0.194118,0.389828,0.0920082,-0.0062919,0.233267,0.255341,0.086943,0.292326,0.106635,0.0584813,0.35513,0.0586491,0.0544735,0.270223,0.227055
23.47,-0.0608448,0.260349,0.945214,-0.139714,0.277902,1.04279,-0.0656802,0.266634,1.0381,-0.200541,0.58064,0.973008,0.0299324,0.570102,0.948758,-0.145319,0.330345,0.0816482,-0.223687,0.490505,0.0438934,-0.187497,0.562942,0.0647426,-0.193666,0.377973,0.0927984,-0.00772054,0.24833,0.245452,0.0871696,0.315854,0.101797,0.0593728,0.381324,0.057396,0.0535148,0.286672,0.220259
23.48,-0.0613924,0.259006,0.946486,-0.140762,0.277231,1.04447,-0.0666635,0.265333,1.03992,-0.201265,0.579454,0.974361,0.0290771,0.568506,0.9507,-0.144874,0.318755,0.0819151,-0.223501,0.477983,0.0436495,-0.187242,0.550828,0.0643148,-0.193607,0.367028,0.0936983,-0.00860907,0.264259,0.234275,0.0875516,0.340605,0.0965391,0.0602953,0.408962,0.0564981,0.0527914,0.303602,0.212387
23.49,-0.06182,0.257747,0.947386,-0.1416,0.276548,1.0459,-0.0677067,0.264398,1.04145,-0.201937,0.578365,0.975434,0.0283382,0.567003,0.952372,-0.144108,0.306091,0.0826096,-0.223389,0.466411,0.0439052,-0.187158,0.539125,0.0642101,-0.19318,0.355082,0.0941977,-0.00904089,0.280579,0.222316,0.0880657,0.366275,0.0908174,0.0613135,0.437503,0.0558527,0.0526797,0.321397,0.203562
23.5,-0.0619272,0.256261,0.948128,-0.142135,0.275698,1.04707,-0.0685129,0.263362,1.04268,-0.202632,0.577223,0.976114,0.0275424,0.565521,0.953781,-0.14402,0.294315,0.083011,-0.223274,0.454041,0.0438888,-0.18699,0.527121,0.0639079,-0.192896,0.343482,0.0948005,-0.00916173,0.297836,0.209426,0.0887927,0.392564,0.0848462,0.0623917,0.466431,0.0552497,0.0528294,0.33995,0.193914
23.51,-0.0618517,0.254914,0.948718,-0.142593,0.274885,1.04793,-0.0689724,0.262254,1.04354,-0.203367,0.576388,0.976487,0.0267845,0.564173,0.954846,-0.14332,0.281926,0.083531,-0.222731,0.441703,0.0434632,-0.186813,0.515262,0.063701,-0.192495,0.332039,0.0953856,-0.00853913,0.316302,0.196092,0.089903,0.419634,0.0788815,0.0638949,0.495776,0.0551387,0.0535933,0.359397,0.183797
23.52,-0.0616124,0.253472,0.949071,-0.142804,0.273958,1.04851,-0.0693476,0.261112,1.04413,-0.203922,0.575379,0.97634,0.0261425,0.563122,0.95549,-0.143082,0.270031,0.0842085,-0.222658,0.429732,0.0436449,-0.186572,0.503164,0.0634206,-0.192113,0.320441,0.0959778,-0.00737102,0.335833,0.18259,0.0914946,0.447239,0.0733024,0.0656832,0.525289,0.0556087,0.0547706,0.379583,0.173526
23.53,-0.0612596,0.252215,0.94928,-0.143078,0.273217,1.0488,-0.0695735,0.260036,1.04439,-0.204484,0.574438,0.97578,0.0257209,0.561971,0.955619,-0.142744,0.258846,0.084273,-0.222539,0.41804,0.043979,-0.186183,0.491611,0.0631652,-0.19168,0.309065,0.0965764,-0.00586976,0.356129,0.168681,0.0935558,0.475484,0.0684235,0.0683077,0.554675,0.0567139,0.0563899,0.400772,0.163349
23.54,-0.0608128,0.250955,0.949161,-0.143045,0.272166,1.04881,-0.0696547,0.25902,1.04426,-0.204833,0.57333,0.974693,0.0252399,0.560847,0.955282,-0.142361,0.247249,0.0846809,-0.221958,0.405022,0.0432792,-0.186033,0.479767,0.0629234,-0.1912,0.297588,0.0972689,-0.00374996,0.37756,0.155133,0.0963412,0.50408,0.064496,0.0712383,0.583981,0.0586255,0.0584898,0.422543,0.153342
23.55,-0.0602111,0.249926,0.948835,-0.142982,0.271372,1.0484,-0.069507,0.25799,1.04382,-0.20497,0.572214,0.973251,0.0250186,0.559907,0.954439,-0.141807,0.235516,0.0850558,-0.221636,0.39304,0.0434098,-0.185899,0.467806,0.0626681,-0.190467,0.286243,0.0976407,-0.00126878,0.399957,0.141797,0.0995513,0.532727,0.0616831,0.0747527,0.613085,0.0617049,0.0609998,0.44507,0.14394
23.56,-0.0595901,0.24899,0.94831,-0.142661,0.270412,1.04773,-0.069237,0.257125,1.04308,-0.205043,0.571311,0.971483,0.0250412,0.558935,0.953091,-0.141229,0.223678,0.0856204,-0.221492,0.380951,0.0434879,-0.185514,0.455463,0.0621919,-0.190075,0.274722,0.0984138,0.00127648,0.423451,0.128956,0.103332,0.561515,0.0600313,0.078569,0.641757,0.0657666,0.0639468,0.468215,0.13519
23.57,-0.0589964,0.248159,0.947589,-0.142105,0.269182,1.04691,-0.0689585,0.256474,1.04196,-0.204771,0.570355,0.969246,0.0253265,0.557971,0.951268,-0.140761,0.212033,0.0860998,-0.221683,0.369732,0.0441808,-0.185274,0.443388,0.0618487,-0.189581,0.263224,0.0992186,0.00506423,0.447215,0.11701,0.107354,0.590421,0.0597338,0.0825597,0.669967,0.0709547,0.0673079,0.491805,0.127215
23.58,-0.0583022,0.247342,0.946689,-0.141788,0.269021,1.04541,-0.0683307,0.255642,1.04067,-0.204331,0.569353,0.966897,0.025888,0.557104,0.949081,-0.140201,0.200198,0.0867175,-0.221561,0.357693,0.0441323,-0.185243,0.431491,0.061648,-0.189224,0.251642,0.099831,0.00905626,0.471472,0.106149,0.111489,0.619093,0.0609627,0.0863347,0.697709,0.0775259,0.0711091,0.515767,0.120387
23.59,-0.0577452,0.246648,0.945646,-0.141145,0.268477,1.04386,-0.067692,0.255075,1.03911,-0.203905,0.568719,0.964269,0.0265225,0.556253,0.946536,-0.139683,0.188402,0.0874204,-0.221528,0.344985,0.0438432,-0.185301,0.419893,0.0614184,-0.188705,0.240121,0.100788,0.0136588,0.495799,0.0965342,0.11555,0.647394,0.063884,0.0896626,0.72444,0.0857427,0.0751538,0.539701,0.114773
23.6,-0.056998,0.246016,0.944507,-0.140393,0.267978,1.04215,-0.0668605,0.254515,1.03741,-0.202943,0.567831,0.961401,0.0275307,0.555463,0.943741,-0.139549,0.176948,0.0879242,-0.221406,0.333471,0.0440948,-0.185154,0.407738,0.0610634,-0.188289,0.228677,0.101573,0.0187462,0.520039,0.0883004,0.119113,0.674889,0.0684791,0.0922312,0.749898,0.0957028,0.079452,0.563335,0.110509
23.61,-0.056233,0.245453,0.943236,-0.139562,0.267755,1.04025,-0.0660514,0.254171,1.03541,-0.201804,0.56721,0.958377,0.0287216,0.554732,0.940811,-0.139233,0.165516,0.0885269,-0.221346,0.321526,0.0441863,-0.184999,0.395755,0.060676,-0.187892,0.217374,0.102352,0.0242446,0.543599,0.0816632,0.122295,0.701077,0.0746857,0.0940448,0.773595,0.107191,0.0839821,0.58617,0.107854
23.62,-0.0552342,0.245072,0.941837,-0.138508,0.267505,1.03829,-0.0650168,0.253943,1.03341,-0.200499,0.566815,0.955339,0.0301897,0.554246,0.937752,-0.138127,0.153431,0.0895539,-0.221259,0.309343,0.0441446,-0.18494,0.383874,0.0604393,-0.187484,0.206141,0.103347,0.0300544,0.565895,0.0767232,0.125095,0.7254,0.0825437,0.0951676,0.79483,0.119988,0.0887434,0.607648,0.106779
23.63,-0.0541051,0.244758,0.940136,-0.137461,0.267583,1.03626,-0.063862,0.253548,1.03123,-0.199019,0.566562,0.9524,0.0318492,0.55412,0.934683,-0.137472,0.142145,0.0903462,-0.220835,0.2974,0.0443316,-0.184832,0.37194,0.0600709,-0.186757,0.194764,0.104322,0.0355968,0.586588,0.0733248,0.127234,0.747119,0.0913896,0.0955037,0.813163,0.133309,0.0927801,0.627503,0.106889
23.64,-0.0528566,0.244701,0.938281,-0.136157,0.267599,1.03408,-0.0625039,0.253635,1.02898,-0.197366,0.566457,0.949468,0.0335656,0.553968,0.931675,-0.136584,0.130711,0.0915316,-0.220618,0.285085,0.0443674,-0.184597,0.359911,0.0597298,-0.185898,0.183676,0.105464,0.0403348,0.60464,0.0709501,0.128793,0.765509,0.100634,0.0951609,0.828366,0.146142,0.0960711,0.644752,0.108266
23.65,-0.0514292,0.244889,0.93613,-0.134614,0.267544,1.03171,-0.0609575,0.253778,1.02656,-0.195555,0.566557,0.946642,0.0355003,0.554227,0.928805,-0.135928,0.119432,0.0929498,-0.2203,0.273188,0.0445794,-0.184385,0.347787,0.0593338,-0.185271,0.172596,0.106823,0.0424015,0.620295,0.0695736,0.129414,0.779762,0.10885,0.0946625,0.839872,0.157345,0.0976044,0.658743,0.109747
23.66,-0.0497609,0.245273,0.933933,-0.133011,0.267677,1.02937,-0.0592929,0.254178,1.02405,-0.193776,0.566802,0.943991,0.0374012,0.554713,0.925989,-0.135085,0.108166,0.0946387,-0.219933,0.261282,0.0447335,-0.184067,0.335694,0.0588597,-0.184304,0.161443,0.108275,0.0421868,0.632148,0.0686125,0.12943,0.789759,0.113975,0.0947255,0.847615,0.165404,0.0976549,0.668849,0.110272
23.67,-0.0480706,0.24588,0.931616,-0.131364,0.268238,1.02688,-0.0574524,0.254689,1.02154,-0.191782,0.567227,0.941472,0.0392491,0.55535,0.923339,-0.134792,0.0973635,0.0963838,-0.219717,0.249491,0.0449211,-0.183834,0.323719,0.0584257,-0.183713,0.150566,0.10985,0.0404046,0.639764,0.0678149,0.129317,0.795608,0.11565,0.095961,0.851942,0.169617,0.0966397,0.674967,0.10934
23.68,-0.0461921,0.246508,0.929428,-0.129557,0.268778,1.02432,-0.055795,0.255792,1.01901,-0.189876,0.567971,0.939128,0.0412172,0.556125,0.92086,-0.134485,0.0862621,0.0986663,-0.219443,0.237399,0.0450066,-0.183515,0.311689,0.0580963,-0.183438,0.140117,0.111681,0.0385024,0.642616,0.0661627,0.128928,0.797467,0.114358,0.0965347,0.853191,0.169742,0.0953776,0.677105,0.107137
23.69,-0.0443477,0.247539,0.927361,-0.127755,0.269836,1.02183,-0.0539566,0.256692,1.01662,-0.187789,0.568922,0.936849,0.0431268,0.556985,0.918568,-0.134761,0.0757728,0.101291,-0.219369,0.225593,0.0452542,-0.183764,0.299992,0.0576582,-0.183244,0.129738,0.113824,0.0370411,0.640824,0.0631538,0.127672,0.795712,0.110515,0.0956888,0.851494,0.166055,0.0940021,0.675282,0.103805
23.7,-0.0424686,0.248782,0.925513,-0.125954,0.271236,1.01944,-0.052089,0.25778,1.01431,-0.1857,0.570195,0.93463,0.045444,0.558166,0.916483,-0.134803,0.0651082,0.104501,-0.219423,0.214052,0.0455434,-0.18307,0.287919,0.057458,-0.183227,0.119645,0.116374,0.0358237,0.633992,0.0620413,0.125883,0.790203,0.104134,0.0938877,0.84679,0.158894,0.0925206,0.669677,0.099946
23.71,-0.0403071,0.250171,0.923809,-0.123814,0.272575,1.01715,-0.0500352,0.259197,1.01213,-0.183483,0.571885,0.932517,0.0477456,0.55957,0.914702,-0.134971,0.0546081,0.108348,-0.219597,0.202461,0.0460217,-0.182998,0.275814,0.0572053,-0.18323,0.10967,0.119309,0.0348289,0.624523,0.0629162,0.124413,0.782598,0.0958132,0.0922789,0.841637,0.146641,0.0907799,0.66129,0.0956453
23.72,-0.038011,0.251852,0.922241,-0.121596,0.274247,1.01499,-0.0479386,0.260984,1.01009,-0.181214,0.573514,0.930426,0.0502367,0.561314,0.913164,-0.135436,0.0450401,0.112517,-0.219403,0.190667,0.0462144,-0.182539,0.263336,0.0570387,-0.18323,0.100279,0.122608,0.0341011,0.615753,0.0631298,0.123306,0.774746,0.0878012,0.091301,0.836222,0.135645,0.089306,0.6525,0.0911739
23.73,-0.0352967,0.253878,0.920737,-0.119397,0.27624,1.01304,-0.0456143,0.26308,1.00827,-0.178854,0.575535,0.92863,0.0527992,0.563308,0.911973,-0.136031,0.0361454,0.117426,-0.219535,0.179089,0.0464896,-0.182746,0.251594,0.0572006,-0.183459,0.0911441,0.126533,0.0335278,0.60872,0.0645474,0.121751,0.767957,0.0805053,0.0901808,0.83019,0.127334,0.0887664,0.646838,0.0883538
